Year,League,Winner
1960,NL,Dick Groat
1960,AL,Roger Maris
1961,NL,Frank Robinson
1961,AL,Roger Maris
1962,NL,Maury Wills
1962,AL,Mickey Mantle
1963,NL,Sandy Koufax
1963,AL,Elston Howard
1964,NL,Ken Boyer
1964,AL,Brooks Robinson
1965,NL,Willie Mays
1965,AL,Zoilo Versalles
1966,NL,Roberto Clemente
1966,AL,Frank Robinson
1967,NL,Orlando Cepeda
1967,AL,Carl Yastrzemski
1968,NL,Bob Gibson
1968,AL,Denny McLain
1969,NL,Willie McCovey
1969,AL,Harmon Killebrew
1970,NL,Johnny Bench
1970,AL,Boog Powell
1971,NL,Joe Torre
1971,AL,Vida Blue
1972,NL,Johnny Bench
1972,AL,Dick Allen
1973,NL,Pete Rose
1973,AL,Reggie Jackson
1974,NL,Steve Garvey
1974,AL,Jeff Burroughs
1975,NL,Joe Morgan
1975,AL,Fred Lynn
1976,NL,Joe Morgan
1976,AL,Thurman Munson
1977,NL,George Foster
1977,AL,Rod Carew
1978,NL,Dave Parker
1978,AL,Jim Rice
1979,NL,Keith Hernandez
1979,NL,Willie Stargell
1979,AL,Don Baylor
1980,NL,Mike Schmidt
1980,AL,George Brett
1981,NL,Mike Schmidt
1981,AL,Rollie Fingers
1982,NL,Dale Murphy
1982,AL,Robin Yount
1983,NL,Dale Murphy
1983,AL,Cal Ripken Jr.
1984,NL,Ryne Sandberg
1984,AL,Willie Hernandez
1985,NL,Willie McGee
1985,AL,Don Mattingly
1986,NL,Mike Schmidt
1986,AL,Roger Clemens
1987,NL,Andre Dawson
1987,AL,George Bell
1988,NL,Kirk Gibson
1988,AL,Jose Canseco
1989,NL,Kevin Mitchell
1989,AL,Robin Yount
1990,NL,Barry Bonds
1990,AL,Rickey Henderson
1991,NL,Terry Pendleton
1991,AL,Cal Ripken Jr.
1992,NL,Barry Bonds
1992,AL,Dennis Eckersley
1993,NL,Barry Bonds
1993,AL,Frank Thomas
1994,NL,Jeff Bagwell
1994,AL,Frank Thomas
1995,NL,Barry Larkin
1995,AL,Mo Vaughn
1996,NL,Ken Caminiti
1996,AL,Juan Gonzalez
1997,NL,Larry Walker
1997,AL,Ken Griffey Jr.
1998,NL,Sammy Sosa
1998,AL,Juan Gonzalez
1999,NL,Chipper Jones
1999,AL,Ivan Rodriguez
2000,NL,Jeff Kent
2000,AL,Jason Giambi
2001,NL,Barry Bonds
2001,AL,Ichiro Suzuki
2002,NL,Barry Bonds
2002,AL,Miguel Tejada
2003,NL,Barry Bonds
2003,AL,Alex Rodriguez
2004,NL,Barry Bonds
2004,AL,Vladimir Guerrero
2005,NL,Albert Pujols
2005,AL,Alex Rodriguez
2006,NL,Ryan Howard
2006,AL,Justin Morneau
2007,NL,Jimmy Rollins
2007,AL,Alex Rodriguez
2008,NL,Albert Pujols
2008,AL,Dustin Pedroia
2009,NL,Albert Pujols
2009,AL,Joe Mauer
2010,NL,Joey Votto
2010,AL,Josh Hamilton
2011,NL,Ryan Braun
2011,AL,Justin Verlander
2012,NL,Buster Posey
2012,AL,Miguel Cabrera
2013,NL,Andrew McCutchen
2013,AL,Miguel Cabrera
2014,NL,Clayton Kershaw
2014,AL,Mike Trout
2015,NL,Bryce Harper
2015,AL,Josh Donaldson
2016,NL,Kris Bryant
2016,AL,Mike Trout
2017,NL,Giancarlo Stanton
2017,AL,Jose Altuve
2018,NL,Christian Yelich
2018,AL,Mookie Betts
